OTU_ID	S100	S101	S109	S110	S111	S112	S113	S121	S122	S123	S124	S125	S133	S134	S135	S136	S137	S145	S146	S147	S148	S149	S157	S158	S159	S160	S161	S169	S170	S171	S172	S173	S181	S182	S183	S184	S185	S504	S505	S506	S507	S508	S509	S516	S517	S518	S519	S520	S521	S528	S529	S530	S531	S532	S533	S540	S541	S542	S543	S544	S545	S552	S553	S554	S555	S556	S557	S564	S565	S566	S567	S568	S569	S576	S577	S578	S579	S580	S581	S588	S589	S590	S591	S592	S593	S97	S98	S99
Otu1785	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	4	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0	0	0	0	26
Otu2882	0	0	3	4	3	4	1	25	1	0	1	2	2	5	1	3	1	4	2	1	0	0	3	0	0	10	0	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	6	0	0	0	2	0	0	0	0	4	2	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	54
Otu3375	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2172	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Otu2049	0	0	5	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu1220	0	0	3	13	4	1	3	7	0	0	0	0	1	0	2	1	3	0	0	1	0	0	1	0	6	7	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	6	0	2	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	2
Otu2156	0	0	2	2	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Otu2899	0	0	1	13	17	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	3	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2791	0	0	1	2	5	0	0	2	0	1	1	0	1	1	0	5	1	3	0	2	0	0	1	1	1	13	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	2
Otu1497	0	0	7	12	1	0	1	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	6	0	2	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
