OTU_ID	S100	S101	S109	S110	S111	S112	S113	S121	S122	S123	S124	S125	S133	S134	S135	S136	S137	S145	S146	S147	S148	S149	S157	S158	S159	S160	S161	S169	S170	S171	S172	S173	S181	S182	S183	S184	S185	S504	S505	S506	S507	S508	S509	S516	S517	S518	S519	S520	S521	S528	S529	S530	S531	S532	S533	S540	S541	S542	S543	S544	S545	S552	S553	S554	S555	S556	S557	S564	S565	S566	S567	S568	S569	S576	S577	S578	S579	S580	S581	S588	S589	S590	S591	S592	S593	S97	S98	S99
Otu45	344	311	470	1484	488	83	345	783	528	1179	70	166	240	417	46	222	103	1455	55	1399	139	84	124	184	481	1538	161	112	171	64	475	49	66	44	29	27	37	171	35	55	5	26	78	49	651	896	49	8	13	3	12	10	21	3	182	172	29	33	7	1	36	17	16	22	4	5	496	2	37	20	68	33	8	60	50	7	29	26	33	0	2	0	7	9	24	405	98	1716
Otu11	131	152	960	1215	675	179	561	1732	894	693	113	256	592	530	147	78	134	734	198	1069	327	420	261	348	1261	1074	260	446	165	279	7101	343	73	126	98	181	142	86	63	29	32	25	34	54	1423	1364	11	24	9	22	27	18	18	3	153	550	55	15	28	23	33	82	31	23	8	10	2102	101	142	45	3126	125	36	137	87	8	108	48	31	2	0	1	9	14	3	364	128	1159
Otu289	18	51	237	258	100	44	63	119	287	140	9	58	271	33	42	17	31	81	20	111	55	39	48	34	255	108	101	65	18	50	526	104	24	4	11	5	7	8	12	3	4	4	1	21	147	278	7	1	3	5	9	3	15	3	71	79	3	10	5	1	3	7	7	0	4	0	280	0	0	17	352	4	6	14	5	4	3	8	1	7	5	17	8	4	2	131	22	230
Otu3224	5	5	12	10	1	0	3	0	5	1	1	0	2	5	0	2	0	2	0	5	1	1	3	1	1	5	0	1	1	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	3	1	50
Otu3105	10	16	80	191	68	19	43	25	21	8	27	16	8	42	0	24	19	286	3	64	2	2	11	24	2	248	0	1	6	4	53	2	2	9	0	7	3	7	2	2	1	0	4	8	30	22	8	2	7	0	4	0	1	0	11	51	1	0	1	1	5	0	1	1	1	0	16	7	8	1	20	1	3	5	4	0	7	1	0	6	0	0	1	3	1	27	16	114
Otu1	1979	776	5481	9898	5478	804	3191	8313	3539	5396	1929	1814	2541	2586	878	1411	920	2867	736	2827	1160	827	1501	1682	4476	11246	1191	808	731	723	17675	1062	1001	1186	803	2572	696	369	272	202	220	159	208	285	9988	8623	165	309	90	370	407	205	259	87	2241	4023	498	168	342	846	138	189	64	161	97	75	4894	538	271	145	12153	165	148	504	338	87	491	520	128	365	182	328	221	203	73	2278	1175	10768
Otu2787	13	0	87	26	33	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17	3	0	131	0	0	4	0	13	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	4	0	0	0	0	0	0	0	2	4	4
Otu278	39	40	95	208	309	28	86	161	171	81	130	51	37	89	17	54	20	265	22	97	21	20	25	32	93	413	35	72	35	18	216	27	14	25	6	15	11	7	4	3	0	2	3	5	46	113	3	3	5	2	2	2	6	1	31	57	6	6	5	6	5	1	3	4	0	2	59	0	4	3	49	6	2	15	5	0	13	18	4	0	0	0	0	0	2	85	36	256
Otu16	330	250	721	1701	1484	161	656	909	776	424	899	320	209	317	89	257	54	1225	62	218	99	109	164	196	353	2399	89	207	135	17	1311	175	11	106	45	105	24	50	17	27	2	8	37	4	140	421	14	12	13	3	1	6	10	0	77	409	51	36	7	3	19	1	3	3	3	0	332	0	21	9	117	21	26	50	37	8	78	41	15	0	0	0	1	2	5	414	293	1303
Otu3	455	719	2338	10674	6918	806	3042	2579	3568	462	1166	1755	102	444	132	738	1766	2596	162	365	31	106	235	412	1251	5688	68	61	320	27	683	109	83	187	153	258	101	75	49	44	58	31	33	324	2778	808	74	15	6	42	90	18	24	17	350	614	87	199	25	4	27	86	79	21	57	37	576	21	21	9	555	25	31	26	75	22	29	42	4	15	12	18	35	47	21	1434	1459	23755
Otu178	32	14	52	65	17	7	34	142	75	31	2	9	4	1	0	3	1	134	4	56	7	12	24	11	122	109	14	11	15	8	84	12	15	8	3	4	1	12	2	3	10	2	5	4	221	136	3	3	3	0	2	0	2	0	53	20	4	1	1	29	3	1	3	0	13	0	105	24	5	2	441	10	0	13	7	2	7	9	4	8	14	4	6	8	4	34	9	43
Otu55	138	186	265	676	389	74	94	256	56	83	74	97	66	73	37	200	218	1201	27	85	38	72	45	61	72	1217	59	28	32	11	207	26	32	58	42	31	27	2	2	0	11	8	3	10	237	98	14	4	7	4	10	3	8	6	130	113	4	22	6	3	6	1	3	11	19	3	200	1	6	6	103	10	11	5	11	4	14	20	7	15	19	3	12	6	6	130	111	1279
Otu71	144	29	101	465	200	23	74	96	63	89	80	41	54	73	10	73	31	971	17	49	8	11	50	51	57	437	3	49	37	24	415	13	15	47	14	40	5	8	2	3	1	6	9	2	3	132	1	1	1	0	6	4	7	0	22	55	17	2	2	1	4	1	6	3	2	1	47	0	4	3	70	9	5	18	5	1	23	9	5	0	1	0	2	2	3	71	105	193
Otu2338	18	4	24	21	34	12	12	26	16	14	33	5	11	6	1	1	0	133	0	19	2	6	9	8	42	89	9	9	4	1	53	7	0	1	1	4	0	5	1	0	0	1	0	1	45	48	2	0	0	0	0	0	0	0	6	13	0	1	1	0	1	0	0	1	0	0	24	0	1	1	5	0	0	2	2	1	3	5	0	0	0	0	0	0	1	8	2	25
Otu4	1787	1053	3430	8003	5686	1790	2271	4469	2311	2088	2416	896	1795	1994	623	3797	1274	16344	691	2865	702	1171	1456	1293	2765	21844	1341	290	455	118	2391	373	1005	1832	921	2453	789	167	66	119	87	121	149	172	2313	3113	141	167	72	212	220	214	191	67	1552	4187	161	216	224	178	169	68	77	119	155	79	2592	101	311	89	2838	90	237	188	186	76	473	480	89	255	84	140	158	122	173	3837	1915	15494
Otu10	1133	365	774	2274	614	115	598	1043	870	341	224	198	349	621	76	308	148	2685	113	702	226	176	230	293	998	2027	226	343	221	193	2112	296	85	70	34	86	89	219	108	80	21	48	41	119	1225	1320	83	13	24	17	63	16	20	11	204	513	69	48	12	8	39	65	22	18	67	10	904	7	170	123	675	95	36	147	118	18	78	38	47	10	13	35	58	20	9	590	219	1718
Otu47	31	45	157	463	415	66	130	270	153	140	56	34	134	137	42	128	33	836	32	136	53	33	95	41	316	732	79	26	6	12	278	44	47	58	43	79	27	12	6	4	9	5	13	13	152	271	12	6	10	5	3	4	7	2	71	93	7	9	8	19	9	6	3	5	12	8	223	0	6	6	463	6	8	14	6	3	5	16	8	4	3	6	8	3	3	159	39	405
Otu2310	189	32	47	140	38	4	6	15	17	12	6	7	0	0	0	0	0	59	2	19	5	6	66	23	27	43	2	8	5	1	50	6	14	1	0	0	0	14	3	3	3	0	8	2	73	295	6	1	10	0	1	0	0	0	40	38	8	2	1	23	18	2	1	0	6	3	425	3	25	3	133	9	12	3	4	2	5	4	2	1	1	1	0	0	1	24	9	58
Otu237	18	5	47	426	109	14	192	6	25	3	14	15	0	32	0	5	4	12	0	11	1	3	3	3	17	91	1	1	19	1	107	4	1	6	0	9	1	1	0	4	1	0	1	0	2	42	1	1	0	0	1	0	1	0	5	9	1	1	0	0	3	0	0	2	0	0	3	0	4	0	6	2	0	0	0	0	4	1	1	0	0	0	1	6	3	0	5	21
Otu7	185	477	3182	825	937	248	429	6221	1171	338	218	638	1325	201	27	560	133	4146	404	845	69	158	224	736	1521	1140	60	15	44	47	3127	127	19	428	31	201	202	188	36	58	19	113	74	61	2107	1005	29	109	12	15	42	83	29	1	420	595	136	186	177	42	36	129	196	130	18	14	925	10	38	47	478	50	34	81	22	26	198	338	20	16	6	49	7	30	16	1007	288	2543
Otu250	42	30	57	74	33	4	20	69	18	43	31	11	19	49	4	30	8	43	2	36	19	8	15	23	39	87	46	6	2	15	137	15	7	7	1	25	14	20	13	3	4	2	4	6	90	112	1	1	0	2	2	3	6	1	18	118	9	4	1	4	1	4	1	2	4	1	60	7	6	6	87	8	2	16	7	0	51	12	5	4	1	7	3	2	2	45	18	61
Otu148	18	21	44	134	76	16	45	83	55	20	21	27	5	19	2	22	15	165	8	29	6	9	25	13	51	317	10	1	10	0	38	4	1	9	2	10	0	3	4	1	1	4	4	7	58	77	8	0	0	1	0	0	1	0	24	51	5	1	0	0	2	3	2	0	2	0	72	0	3	3	97	0	2	2	2	0	3	1	1	3	2	1	1	1	3	53	16	674
Otu1699	51	48	252	775	126	54	181	90	56	64	27	53	112	84	17	15	16	76	14	116	16	17	28	78	164	330	37	86	24	10	1276	20	8	13	13	37	10	52	0	5	14	11	4	13	101	100	11	8	3	1	2	2	4	0	42	96	17	18	12	15	3	10	6	2	12	6	93	22	3	6	252	30	3	9	6	8	44	24	5	8	3	4	10	7	3	92	30	518
Otu36	363	22	221	819	358	96	743	164	62	47	24	139	106	256	24	102	51	2825	32	664	53	48	181	91	259	290	48	18	17	15	402	13	78	40	37	64	18	67	25	22	26	12	18	51	407	443	20	8	21	19	20	4	24	3	163	153	13	15	0	9	22	12	29	7	12	4	514	16	8	27	854	29	9	57	46	13	30	18	13	14	20	53	22	11	2	172	68	428
Otu67	34	39	204	51	136	26	47	388	47	17	22	51	77	40	23	14	34	1078	20	21	29	45	25	68	135	331	44	47	0	4	171	20	16	20	9	11	12	8	3	2	12	1	5	8	129	110	6	7	1	14	10	6	5	2	69	61	6	7	8	5	2	8	11	6	5	0	117	13	10	4	392	14	2	10	20	0	25	14	4	29	7	12	8	5	2	121	16	199
Otu5	532	186	1266	2839	2011	608	853	1842	1237	560	1004	458	451	417	122	1082	374	6772	169	992	243	338	608	521	688	7660	364	154	176	31	638	111	286	641	448	608	293	51	9	19	28	41	48	85	801	1010	44	75	49	35	46	65	86	22	671	1276	106	47	99	81	35	42	51	59	73	34	1152	91	67	19	903	37	74	100	96	23	104	121	37	151	34	40	36	28	105	1096	579	3786
Otu442	13	11	19	96	35	1	19	14	13	9	2	13	9	14	4	5	4	45	1	12	7	0	5	11	16	35	2	6	14	4	39	0	5	1	0	3	0	3	2	1	1	0	0	4	21	14	2	0	1	1	0	0	1	2	4	14	1	0	0	0	1	1	1	3	2	1	18	0	0	0	24	1	0	0	2	0	1	1	0	2	2	0	0	1	1	9	3	153
Otu3813	1	0	0	2	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu627	6	3	14	22	4	2	7	16	20	10	4	6	5	2	4	3	0	13	1	7	1	3	5	5	18	20	1	6	2	2	71	2	4	3	1	4	0	1	0	0	1	0	0	1	23	6	0	0	0	2	2	0	0	0	0	16	2	1	1	1	0	1	0	0	2	0	5	8	0	0	51	1	0	0	1	0	3	1	0	5	0	1	1	0	0	6	3	8
Otu26	770	280	979	2079	1350	419	723	1181	906	596	727	410	587	667	155	852	203	5003	246	1131	358	331	438	455	1020	5358	460	235	122	77	1113	146	212	346	162	373	230	77	19	21	42	32	52	93	1113	1355	47	69	25	38	31	65	71	9	322	870	74	37	78	62	52	52	44	55	35	18	738	78	56	29	1408	40	68	91	92	20	177	137	24	57	19	36	25	35	46	819	343	3574
Otu128	11	29	88	616	66	30	60	70	7	7	15	4	15	5	5	29	52	299	9	25	3	12	9	78	62	48	4	14	7	0	21	0	0	18	3	38	7	2	1	2	0	4	2	3	12	106	5	14	0	0	0	1	0	0	33	77	21	11	2	5	3	0	3	1	0	0	6	0	0	2	31	2	3	2	0	3	10	12	2	0	0	0	0	0	1	24	22	31
Otu110	123	35	112	319	59	40	88	111	44	51	93	24	32	23	17	49	5	186	7	52	18	24	19	41	99	575	60	32	25	12	287	44	9	7	3	42	12	30	15	2	4	7	1	18	93	204	3	5	2	2	2	1	4	1	17	148	6	1	9	11	5	8	14	1	6	6	44	11	4	2	181	17	4	19	11	4	61	20	5	5	0	2	4	3	0	133	38	258
Otu108	31	24	69	334	32	3	15	80	26	59	13	7	38	54	7	27	4	239	10	82	6	34	43	46	154	174	21	35	38	11	234	8	25	7	13	10	5	17	1	3	1	0	6	8	85	139	9	4	1	3	3	3	0	0	85	56	4	2	3	10	0	0	1	3	0	5	199	1	19	4	107	10	4	16	8	1	13	6	3	1	3	1	1	7	1	48	21	79
Otu2742	6	11	38	40	15	5	12	42	10	15	5	10	11	14	2	9	3	201	4	6	6	2	5	12	28	61	9	7	2	4	66	1	2	2	0	2	3	6	2	1	0	0	4	4	38	27	0	0	1	1	4	0	1	0	13	17	2	0	1	2	1	2	0	3	3	0	15	1	4	3	21	2	1	7	2	1	1	2	2	3	1	2	1	0	0	24	8	90
Otu1754	1	0	2	8	3	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	1	1	6	0	3	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	13	2	0	0	0	0	0	0	0	3	3	0	1	0	0	1	0	0	0	0	0	10	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	4	1	13
Otu93	40	59	508	1674	541	44	191	307	81	137	301	102	42	67	10	43	62	820	20	61	18	22	65	43	98	894	21	21	60	7	264	11	50	79	49	93	22	32	6	15	5	6	14	20	99	144	17	4	6	7	5	6	14	2	51	44	11	7	0	5	12	13	17	17	3	7	72	6	11	6	98	8	9	21	19	4	43	32	4	15	6	8	11	7	12	237	130	2478
Otu141	13	2	42	123	142	10	31	42	4	13	8	7	16	11	6	15	6	263	7	68	8	35	10	13	53	216	6	0	5	1	42	0	13	10	5	9	1	9	0	0	14	4	1	8	115	43	0	0	2	2	2	3	3	1	32	30	8	1	1	7	1	8	5	2	6	3	79	34	1	3	391	16	3	4	4	2	16	9	0	21	1	0	2	2	4	31	5	95
Otu6	711	562	590	545	4007	549	1910	2381	21	2226	454	348	17	203	53	123	354	164	103	548	188	1594	9	15	46	1732	18	15	46	0	268	228	11	9	16	46	3	86	26	1453	6	310	167	349	441	3970	760	57	139	3	4	15	14	6	220	580	365	227	55	0	184	1	1	56	0	0	50	0	50	1	119	5	237	199	475	289	343	86	185	0	1	75	21	13	128	1168	153	8646
Otu140	36	18	83	221	24	21	34	59	14	7	23	5	16	17	5	34	29	573	6	9	10	5	24	18	20	429	20	6	6	1	24	2	9	25	4	25	7	3	2	2	1	7	7	6	61	62	1	7	1	0	1	2	15	0	32	187	14	8	2	0	3	3	4	5	0	0	51	0	13	1	87	2	5	11	15	1	40	36	6	4	0	2	2	2	3	81	58	240
Otu12	512	192	2264	6289	1922	325	1591	932	275	224	539	320	453	567	105	103	85	968	104	509	63	109	142	433	820	4753	149	475	113	39	6974	58	98	86	34	255	24	199	8	44	91	78	32	72	536	564	64	29	33	11	15	17	44	19	529	622	104	49	41	73	48	30	42	8	33	15	494	177	19	37	2443	187	52	47	33	30	310	162	17	59	18	17	43	45	35	621	305	3117
Otu563	10	14	56	143	31	4	15	11	7	0	6	10	1	4	0	3	8	75	1	5	1	1	5	3	3	134	0	1	4	1	23	0	4	4	2	3	1	4	0	2	1	0	1	4	15	9	0	1	0	0	0	0	2	0	11	11	2	0	1	2	2	0	0	0	0	1	14	2	0	2	8	0	4	0	0	0	9	2	1	6	1	0	0	0	1	14	8	112
Otu380	14	7	11	27	20	10	14	4	2	6	5	10	12	1	1	1	3	120	6	10	0	3	2	2	1	147	3	1	3	2	30	0	1	3	0	0	0	3	0	0	1	0	0	0	14	5	0	0	0	1	0	0	0	0	6	12	0	2	0	0	1	0	0	1	0	0	3	0	2	0	4	0	0	0	1	0	1	2	0	0	0	1	0	0	0	4	5	11
Otu76	23	21	146	652	110	59	37	99	21	42	9	21	53	37	14	43	31	1452	9	90	18	30	41	26	57	266	53	2	9	0	17	3	91	36	5	34	15	6	0	2	4	1	2	5	56	88	2	3	2	3	5	4	4	1	43	66	8	3	7	13	3	3	5	6	6	2	198	8	3	1	197	8	1	5	3	2	11	9	1	12	6	0	2	2	1	56	43	68
Otu349	13	9	45	87	14	6	23	18	6	2	3	4	10	8	4	1	2	42	2	7	1	6	5	3	13	66	10	8	0	0	27	0	0	3	0	4	0	2	1	0	9	2	1	3	10	9	2	0	1	0	1	1	1	0	15	31	0	2	1	0	2	0	1	1	0	0	9	11	0	2	107	2	0	0	3	0	4	3	0	12	1	1	1	1	0	30	9	58
Otu33	216	60	626	1863	335	36	198	368	132	133	110	80	171	177	70	93	69	1353	43	208	28	28	78	230	719	681	18	40	58	15	441	17	174	181	88	106	11	4	2	1	17	11	8	25	151	233	6	19	6	11	24	10	21	15	161	87	30	5	3	66	21	6	7	9	68	36	322	25	8	6	472	62	15	11	8	4	60	31	7	26	15	1	16	43	11	404	258	1199
Otu80	145	20	78	278	44	4	31	123	11	52	4	3	5	0	0	44	24	260	9	81	14	4	25	23	44	76	15	0	0	0	3	0	85	12	10	12	13	14	9	5	26	4	4	20	328	456	15	8	5	6	3	6	11	10	89	42	19	0	2	33	7	9	7	3	40	2	316	27	7	3	758	18	1	12	14	6	11	12	6	11	11	12	9	14	14	88	47	277
Otu14	171	140	921	2064	1169	268	523	915	316	355	251	147	370	298	60	670	215	3084	86	345	76	85	375	281	341	3414	192	49	257	17	1300	220	76	236	32	326	50	31	11	22	14	17	18	24	436	501	23	29	14	14	25	39	24	16	306	531	20	27	20	46	29	13	27	27	20	6	588	14	45	17	327	22	23	44	39	5	89	97	18	56	31	11	20	14	28	755	405	2058
Otu167	53	21	52	52	12	32	13	84	6	8	55	6	2	9	7	25	2	21	0	9	3	6	4	1	6	214	11	0	2	0	18	12	2	5	3	6	2	2	3	9	1	14	0	4	43	44	12	0	2	2	3	1	8	1	20	86	0	9	7	0	5	0	6	0	0	0	85	0	1	1	43	0	4	2	6	3	11	5	3	5	1	2	6	0	4	101	24	450
Otu13	278	190	1528	1043	744	305	703	694	193	283	362	140	212	153	86	394	250	4619	84	370	101	130	239	310	440	3181	232	77	109	31	883	68	131	359	11	177	126	29	10	10	22	18	9	26	253	469	23	15	9	28	15	14	25	13	147	553	29	33	10	10	26	6	6	22	35	10	249	10	7	22	408	20	16	33	25	8	80	47	10	33	7	38	23	21	20	563	375	1792
Otu1540	5	1	1	17	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu39	227	286	747	1467	1435	108	1050	667	359	102	410	338	142	132	103	121	56	1709	93	151	51	81	58	154	203	3485	93	127	53	47	476	31	39	262	14	106	50	29	9	40	13	13	17	22	407	230	20	14	9	13	9	23	10	4	115	331	51	51	7	7	31	19	7	41	10	2	141	17	15	17	313	27	25	50	29	6	29	18	17	24	6	9	14	4	9	162	231	1335
Otu8	157	367	1006	2133	1060	392	763	1220	230	580	319	277	183	255	69	619	491	2291	67	307	34	79	390	162	155	3031	52	28	327	5	130	48	175	627	167	368	55	29	17	50	15	31	54	45	390	836	30	24	31	20	41	24	48	15	458	534	49	40	8	15	35	25	39	48	2	8	889	0	58	10	425	9	54	36	42	21	108	99	22	7	4	15	12	19	97	845	457	8313
Otu707	19	6	13	128	55	7	33	2	10	8	24	3	1	5	1	9	0	24	1	17	5	10	4	4	12	77	2	2	7	2	32	1	0	0	0	4	0	0	0	0	0	1	0	0	7	26	0	0	0	0	0	0	3	0	10	12	1	2	0	0	0	0	0	0	0	0	4	0	1	0	17	0	1	1	1	1	0	0	0	1	0	1	0	0	1	4	4	37
Otu256	28	20	61	108	35	8	53	41	7	7	10	18	1	21	1	33	29	305	4	21	6	5	14	13	6	193	2	12	14	3	41	0	11	11	4	15	4	6	0	2	0	1	0	5	33	28	0	3	1	0	7	1	3	0	3	15	0	1	1	0	1	0	0	0	0	1	66	0	1	1	2	1	1	3	1	1	2	2	0	1	0	0	3	1	8	29	30	193
Otu44	102	31	251	482	168	53	225	309	74	48	27	37	107	125	38	77	74	1298	23	52	19	29	62	158	172	396	66	47	57	31	426	16	19	28	16	19	15	29	9	9	12	6	5	10	192	203	11	4	7	14	13	3	5	1	60	110	6	8	6	10	7	10	13	7	16	3	134	30	16	13	289	20	4	11	27	4	26	20	6	21	7	21	11	5	3	180	55	244
Otu31	100	93	430	779	175	37	155	290	107	97	70	90	107	112	18	71	82	629	18	85	37	14	91	70	136	796	54	35	28	10	298	13	32	76	23	55	5	12	9	12	9	6	10	14	342	296	7	5	1	2	10	9	7	4	113	305	22	3	16	11	13	16	17	10	1	2	482	8	25	4	605	20	13	37	27	5	59	21	3	18	1	8	1	12	7	345	173	1370
Otu20	192	268	351	343	436	54	208	412	189	157	81	119	209	134	28	101	87	2433	58	254	104	153	37	180	294	744	65	262	63	141	890	247	29	31	29	26	41	70	56	24	5	12	6	55	647	413	14	5	10	7	11	12	8	1	169	179	10	20	8	0	21	12	21	8	5	5	470	1	14	42	144	13	6	20	39	1	25	5	5	4	2	12	6	4	5	474	63	869
Otu368	114	103	754	855	466	70	277	435	245	375	61	79	534	602	161	130	139	1041	164	896	335	328	177	239	804	541	191	45	18	15	397	28	249	133	134	158	168	69	42	22	36	20	15	73	1874	1756	26	36	25	79	58	48	38	13	432	366	52	10	32	38	13	67	39	27	27	17	1195	166	63	46	3646	63	14	122	79	18	88	44	20	44	40	59	38	38	12	280	133	1025
Otu207	22	47	169	1758	56	1	80	84	29	91	17	20	42	26	5	16	26	232	24	18	9	5	30	88	124	63	8	25	8	6	117	2	10	24	12	14	1	10	3	7	2	5	1	2	67	151	2	3	1	3	3	6	10	3	47	95	6	4	3	1	8	6	2	0	10	4	58	0	1	1	54	15	3	7	1	2	38	8	2	7	3	1	0	9	2	464	97	1139
Otu244	54	40	93	115	342	15	42	79	8	36	26	16	11	9	2	36	15	200	12	27	5	7	17	11	29	196	12	2	11	1	23	0	22	13	2	9	5	0	0	0	1	2	1	1	0	18	2	1	1	0	2	2	2	0	13	21	1	3	0	1	5	1	2	0	3	0	28	0	0	1	21	1	0	2	0	1	0	2	0	1	2	0	5	0	2	55	18	450
Otu285	211	0	3	1	0	32	3	17	11	8	0	0	4	0	0	159	1	183	0	13	8	4	3	1	258	0	48	0	0	0	0	0	6	0	0	0	0	32	2	0	0	0	2	1	99	80	1	0	0	0	0	0	0	0	0	76	0	1	7	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	2	1	2	0	0	0	0	0	0	0	0	43	44	15
Otu151	15	22	72	178	15	5	17	68	68	16	9	18	21	16	15	7	15	216	8	44	15	14	17	13	77	170	29	11	10	7	187	12	13	19	9	22	2	14	2	1	15	6	7	9	129	130	3	7	1	5	10	10	19	2	40	68	11	2	5	9	7	12	6	6	19	6	115	37	7	10	435	16	1	23	7	1	42	19	6	21	1	4	4	7	3	57	45	152
Otu66	190	64	220	3392	1197	9	105	108	142	54	118	16	32	289	10	227	11	1042	6	482	95	18	72	50	116	258	20	133	341	30	1379	65	36	5	12	36	8	2	2	11	2	0	11	7	318	581	7	2	4	6	8	4	19	5	34	33	6	3	0	6	5	6	1	10	18	1	372	1	59	2	37	4	8	1	1	0	4	0	9	1	14	2	2	3	5	70	26	591
Otu17	149	50	374	886	247	130	231	695	333	233	64	70	43	127	118	28	11	916	74	370	61	88	118	109	380	852	199	81	50	18	672	38	119	58	55	70	57	88	24	18	54	8	26	31	1389	807	24	9	22	31	24	12	20	7	574	307	26	8	24	87	33	59	26	3	80	12	923	90	17	34	3095	79	15	45	49	9	25	20	18	44	29	27	20	22	11	310	94	546
Otu467	65	0	6	23	1	10	22	12	0	10	13	9	15	0	2	1	1	269	2	42	6	4	8	2	39	0	13	5	6	1	4	1	14	3	1	14	29	1	1	1	0	0	3	1	22	53	2	0	2	0	0	3	0	0	6	5	0	0	2	0	6	0	0	1	0	0	19	0	4	0	13	0	2	6	0	1	1	1	0	1	0	2	0	1	3	23	3	39
Otu341	3	5	21	77	31	23	10	13	10	16	8	6	14	13	5	10	5	178	4	38	13	6	2	20	49	85	6	3	1	6	21	10	5	2	0	5	10	1	4	3	3	2	5	8	83	82	1	1	5	0	5	3	2	4	64	39	11	1	4	11	4	2	1	1	3	4	57	4	3	5	178	4	2	14	10	2	9	6	2	5	6	3	2	0	2	20	5	58
Otu186	32	22	58	159	32	11	30	103	57	58	12	15	29	34	2	24	14	332	11	57	11	3	13	34	54	127	27	6	9	11	160	3	12	10	3	8	8	8	4	2	2	4	2	1	161	60	3	2	2	0	5	4	5	1	22	51	4	2	5	6	4	3	1	4	2	3	56	17	1	4	172	6	0	10	0	0	19	0	2	6	3	0	3	0	1	31	5	84
Otu252	8	14	34	58	49	29	11	9	2	3	70	4	24	5	3	94	0	163	4	13	34	54	19	20	43	136	138	10	2	5	71	31	20	3	21	64	7	33	1	0	3	12	0	6	134	103	5	3	0	10	3	3	4	1	17	360	12	2	21	30	2	3	1	1	2	2	93	34	5	3	106	26	2	13	6	1	15	25	4	17	13	7	22	2	2	24	20	176
Otu663	2	7	12	5	5	1	4	4	13	9	0	4	13	8	3	4	1	120	6	5	7	3	5	3	30	16	8	5	0	0	19	1	1	1	1	1	3	1	0	0	0	1	1	4	39	18	1	0	1	0	2	1	0	0	5	13	0	0	4	0	1	0	0	0	0	1	6	4	1	2	67	1	0	1	1	0	1	1	0	5	1	2	1	0	0	5	1	14
Otu562	3	9	42	45	8	2	11	23	6	10	4	8	2	11	1	0	5	66	0	17	8	4	6	3	10	51	2	1	2	0	2	3	5	5	2	4	3	0	1	1	0	0	1	0	21	21	3	2	2	1	1	0	5	0	17	12	2	2	0	1	2	1	0	0	1	2	29	0	2	1	48	0	1	1	3	1	0	2	0	6	2	0	0	2	1	8	2	69
Otu83	83	8	128	962	153	24	68	141	189	138	13	21	313	331	16	53	16	308	20	80	18	27	99	89	102	684	47	75	20	8	396	12	33	22	4	26	8	48	8	3	5	5	5	4	321	179	6	3	3	0	0	2	1	0	100	97	11	10	0	5	12	2	0	0	6	0	122	3	5	1	186	11	2	23	15	2	5	13	4	2	1	1	1	4	6	72	37	200
Otu703	1	6	19	24	8	2	1	3	2	1	2	0	1	3	0	2	2	20	2	3	2	2	2	1	2	32	0	3	0	0	2	0	1	1	0	2	0	2	0	0	0	0	0	1	6	5	1	0	3	1	2	1	3	0	4	1	4	0	0	1	0	0	0	0	0	0	6	1	1	0	5	2	0	2	0	0	1	0	0	0	0	1	0	1	0	0	1	26
Otu1020	4	3	3	12	1	1	1	0	0	1	0	0	0	1	0	0	0	11	0	3	0	3	1	3	1	1	1	0	1	0	0	0	3	0	0	0	0	1	2	0	0	1	1	2	1	2	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	4	30
Otu2949	2	0	10	126	13	0	27	19	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	6	3	2	35	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	9	1	0
